#,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Änderung,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410
54,Netzlokation,SG5,,,,,,Soll [46] ∧ [677],"[46] Wenn ID für Objekt vergeben wurde
[677] Hinweis: Es sind alle Netzlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Netzlokation zu beschreiben",,Netzlokation,SG5,,,,,,Soll [46] ∧ [677],"[46] Wenn ID für Objekt vergeben wurde
[677] Hinweis: Es sind alle Netzlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Netzlokation zu beschreiben"
55,Netzlokation,SG5,LOC,,00050,,,Muss,,,Netzlokation,SG5,LOC,,00050,,,Muss,
56,Netzlokation,SG5,LOC,3227,00050,Z18,Netzlokation,X,,,Netzlokation,SG5,LOC,3227,00050,Z18,Netzlokation,X,
57,Netzlokation,SG5,LOC,3225,00050,,ID der Netzlokation,X [960],[960] Format: Netzlokations- ID,,Netzlokation,SG5,LOC,3225,00050,,ID der Netzlokation,X [960],[960] Format: Netzlokations- ID
58,Netzlokation,SG5,LOC,5479,00050,Z01,Lokationszuordnung unverändert,X,,,Netzlokation,SG5,LOC,5479,00050,Z01,Lokationszuordnung unverändert,X,
59,Netzlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,,,Netzlokation,SG5,LOC,5479,,Z02,Lokationszuordnung beginnt,X,
60,Netzlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,,,Netzlokation,SG5,LOC,5479,,Z03,Lokationszuordnung endet,X,
61,Marktlokation,SG5,,,,,,Muss [678],"[678] Hinweis: Es sind alle Marktlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Marktlokation zu beschreiben",,Marktlokation,SG5,,,,,,Muss [678],"[678] Hinweis: Es sind alle Marktlokationen, zu nennen, die aktuell und / oder zukünftig dem gleichen Lokationsbündel angehören wie die prozessual behandelte Messlokation. Zudem ist über das DE5479 mit der Angabe des entsprechenden Codes der Zustand der Marktlokation zu beschreiben"
62,Marktlokation,SG5,LOC,,00051,,,Muss,,,Marktlokation,SG5,LOC,,00051,,,Muss,
63,Marktlokation,SG5,LOC,3227,00051,Z16,Marktlokation,X,,,Marktlokation,SG5,LOC,3227,00051,Z16,Marktlokation,X,
