Segmentname_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310,Unnamed: 0_FV2310,Änderung,changed_entries,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Qualifier_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Unnamed: 0_FV2404
Erforderliches Messprodukt der Tranche,SG27,LIN,1082,00023,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,64,,,Erforderliches Messprodukt der Tranche,SG27,LIN,1082,00023,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,64
Erforderliches Messprodukt der Tranche,SG27,LIN,1229,00023,der Tranche,,,Z16,,65,,,Erforderliches Messprodukt der Tranche,SG27,LIN,1229,00023,der Tranche,,,Z16,,65
Erforderliches Messprodukt der Tranche,SG27,PIA,,00024,,,,Muss,,66,,,Erforderliches Messprodukt der Tranche,SG27,PIA,,00024,,,,Muss,,66
Erforderliches Messprodukt der Tranche,SG27,PIA,4347,00024,,,,5,,67,,,Erforderliches Messprodukt der Tranche,SG27,PIA,4347,00024,,,,5,,67
Erforderliches Messprodukt der Tranche,SG27,PIA,7140,00024,,,Messprodukt-Code,X [12],"[12] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Tranche"" angegeben ist.",68,,,Erforderliches Messprodukt der Tranche,SG27,PIA,7140,00024,,,Messprodukt-Code,X [12],"[12] Es sind nur die Messprodukt-Codes erlaubt, die in der Codeliste der Konfigurationen im Kapitel 4.6 ""Codelisten der Messprodukte Strom für ESA"", in der Spalte ""Ebene"" das Objekt ""Tranche"" angegeben ist.",68
Erforderliches Messprodukt der Tranche,SG27,PIA,7143,00024,Z11,,Messprodukt,X,,69,,,Erforderliches Messprodukt der Tranche,SG27,PIA,7143,00024,Z11,,Messprodukt,X,,69
Erforderliches Messprodukt der Messlokation,SG27,,,,,,,Muss [2004],[2004] Für 33-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben,70,,,Erforderliches Messprodukt der Messlokation,SG27,,,,,,,Muss [2004],[2004] Für 33-stellige ID im SG11 LOC+172 (Meldepunkt) DE3225 genau einmal anzugeben,70
Erforderliches Messprodukt der Messlokation,SG27,LIN,,00025,,,,Muss,,71,,,Erforderliches Messprodukt der Messlokation,SG27,LIN,,00025,,,,Muss,,71
Erforderliches Messprodukt der Messlokation,SG27,LIN,1082,00025,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,72,,,Erforderliches Messprodukt der Messlokation,SG27,LIN,1082,00025,,,Positionsnummer,X [903],[903] Format: Möglicher Wert: 1,72
Erforderliches Messprodukt der Messlokation,SG27,LIN,1229,00025,der Messlokation,,,Z19,,73,,,Erforderliches Messprodukt der Messlokation,SG27,LIN,1229,00025,der Messlokation,,,Z19,,73
