,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
652,Smartmeter-Gateway,SG10,,,,,,Muss,
653,Smartmeter-Gateway,SG10,,,,,,Muss,
654,Smartmeter-Gateway,SG10,CCI,,,,,Muss,
655,Smartmeter-Gateway,SG10,CCI,7037,Z75,,Smartmeter-Gateway,X,Smartmeter-Gateway
656,Identifikation / Nummer des Gerätes,SG10,,,,,,,
657,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss,
658,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss,
659,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
660,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X [952],
661,Daten der Steuerbox,SG8,,,,,,Soll [336] ∧[345],
662,Daten der Steuerbox,SG8,,,,,,Soll [336] ∧[345],
663,Daten der Steuerbox,SG8,SEQ,,,,,Muss,
664,Daten der Steuerbox,SG8,SEQ,1229,Z14,,Steuerbox,X,Steuerbox
665,Referenz auf das Smartmeter-Gateway,SG8,,,,,,,
666,Referenz auf das Smartmeter-Gateway,SG8,,,,,,Muss,
667,Referenz auf das Smartmeter-Gateway,SG8,RFF,,,,,Muss,
668,Referenz auf das Smartmeter-Gateway,SG8,RFF,1153,Z14,,Smartmeter-Gateway,X,Smartmeter-Gateway
669,Referenz auf das Smartmeter-Gateway,SG8,RFF,1154,,,Identifikation / Nummer desSmartmeter-Gateways,X,
670,Referenz auf die ID der Marktlokation,SG8,,,,,,,
671,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
672,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
673,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
674,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID einer Marktlokation,X [950],
675,Steuerbox,SG10,,,,,,Muss,
676,Steuerbox,SG10,,,,,,Muss,
677,Steuerbox,SG10,CCI,,,,,Muss,
678,Steuerbox,SG10,CCI,7037,Z76,,Steuerbox,X,Steuerbox
679,Identifikation / Nummer des Gerätes,SG10,,,,,,,
680,Identifikation / Nummer des Gerätes,SG10,,,,,,Muss,
681,Identifikation / Nummer des Gerätes,SG10,CAV,,,,,Muss,
682,Identifikation / Nummer des Gerätes,SG10,CAV,7111,Z30,,Gerätenummer,X,Gerätenummer
683,Identifikation / Nummer des Gerätes,SG10,CAV,7110,,,Gerätenummer,X [952],
684,Nachrichten-Endesegment,,,,,,,Muss,
685,Nachrichten-Endesegment,,UNT,0074,,,Anzahl der Segmente in einerNachricht,X,
686,Nachrichten-Endesegment,,UNT,0062,,,Nachrichten-Referenznummer,X,
