,Segmentname,Segmentgruppe,Segment,Datenelement,Code,Qualifier,Beschreibung,Bedingungsausdruck,Bedingung
235,Auftraggebender Marktpartner,SG10,CAV,7111,Z89,,LF,,
236,Auftraggebender Marktpartner,SG10,CAV,1131,,,MP-ID,,
237,Produkt-Daten für Marktrolle relevant,SG10,,,,,,,
238,Produkt-Daten für Marktrolle relevant,SG10,,,,,,,
239,Produkt-Daten für Marktrolle relevant,SG10,CCI,,,,,,
240,Produkt-Daten für Marktrolle relevant,SG10,CCI,7037,ZA7,,LF,,LF
241,Daten der Marktlokation,SG8,,,,,,Muss[2061],
242,Daten der Marktlokation,SG8,,,,,,Muss[2061],
243,Daten der Marktlokation,SG8,SEQ,,,,,Muss,
244,Daten der Marktlokation,SG8,SEQ,1229,Z01,,Daten derMarktlokation,X,Daten derMarktlokation
245,Referenz auf die ID der Marktlokation,SG8,,,,,,,
246,Referenz auf die ID der Marktlokation,SG8,,,,,,Muss,
247,Referenz auf die ID der Marktlokation,SG8,RFF,,,,,Muss,
248,Referenz auf die ID der Marktlokation,SG8,RFF,1153,Z18,,Marktlokation,X,Marktlokation
249,Referenz auf die ID der Marktlokation,SG8,RFF,1154,,,ID der Marktlokation,X [950],
250,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,,,,,,,
251,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,,,,,,,
252,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,,,,,,
253,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6063,Z10,,Leistung derMarktlokation,,Leistung derMarktlokation
254,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6063,265,,VeranschlagteJahresmengeGesamt/Jahresverbrauchsprognose fürspezifische ArbeitfürtagesparameterabhängigeMarktlokation,,
255,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6063,Z08,,"Angepassteelektrische Arbeitnach Anhang D derVDN-Richtlinie""Lastprofile fürunterbrechbareVerbrauchseinrichtungen""",,[102] Wenn SG10 CCI+++ZA6 (Prognosegrundlage der Marktlokation: Prognose auf Basis von Profilen) CAV+Z36 (TEP mit Ref.messung) in dieser SG8 vorhanden
256,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6060,,,Menge,,
257,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6411,Z16,,kWh/K (Kilowatt-Stunde/Kelvin),,kWh/K (Kilowatt-Stunde/Kelvin)
258,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6411,KWH,,Kilowattstunde,,
259,Arbeit / Leistung für tagesparameterabhängige Marktlokation,SG9,QTY,6411,KWT,,Kilowatt,,"[103] Wenn SG9 QTY+265 (Arbeit / Leistung für tagesparameterabhän gig e Marktlokation: Veranschlagte Jahresmenge Gesamt) in dieser SG8 vorhanden  
[104] Wenn SG9 QTY+Z08 (Arbeit / Leistung für tagesparameterabhän gige Marktlokation:"
260,Veranschlagte Jahresmenge gesamt,SG9,,,,,,,
261,Veranschlagte Jahresmenge gesamt,SG9,,,,,,,
