#,Segmentname_FV2404,Segmentgruppe_FV2404,Segment_FV2404,Datenelement_FV2404,Segment ID_FV2404,Code_FV2404,Beschreibung_FV2404,Bedingungsausdruck_FV2404,Bedingung_FV2404,Änderung,Segmentname_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410
74,Verwendungszweck der Werte,SG30,CAV,7111,,Z86,Mehrmindermengenabrech nung,X [4P1..1] ⊻ [11P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z86,Mehrmindermengenabrech nung,X [4P1..1] ⊻ [11P1..1],
75,Verwendungszweck der Werte,SG30,CAV,7111,,Z92,Übermittlung an das HKNR,X [7P1..1] ⊻ [8P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z92,Übermittlung an das HKNR,X [7P1..1] ⊻ [8P1..1],
76,Verwendungszweck der Werte,SG30,CAV,7111,,ZE1,Es liegt kein Verwendungszweck vor,X [12P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,ZE1,Es liegt kein Verwendungszweck vor,X [12P1..1],
77,Messprodukt für Lieferant relevant,SG30,,,,,,Muss,,,Messprodukt für Lieferant relevant,SG30,,,,,,Muss,
78,Messprodukt für Lieferant relevant,SG30,CCI,,00070,,,Muss,,,Messprodukt für Lieferant relevant,SG30,CCI,,00070,,,Muss,
79,Messprodukt für Lieferant relevant,SG30,CCI,7037,00070,ZA7,LF,X,,,Messprodukt für Lieferant relevant,SG30,CCI,7037,00070,ZA7,LF,X,
80,Verwendungszweck der Werte,SG30,CAV,,00071,,,Muss,,,Verwendungszweck der Werte,SG30,CAV,,00071,,,Muss,
81,Verwendungszweck der Werte,SG30,CAV,7111,00071,Z47,Endkundenabrechnung,X [2P0..1] ⊻ [3P1..1] ⊻ [4P0..1] ⊻ [6P1..1] ⊻ [8P1..1] ⊻ [9P1..1] ⊻ [10P0..1] ⊻ [11P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,00071,Z47,Endkundenabrechnung,X [2P0..1] ⊻ [3P1..1] ⊻ [4P0..1] ⊻ [6P1..1] ⊻ [8P1..1] ⊻ [9P1..1] ⊻ [10P0..1] ⊻ [11P1..1],
82,Verwendungszweck der Werte,SG30,CAV,7111,,Z84,Netznutzungsabrechnung,X [3P0..1] ⊻ [4P0..1] ⊻ [6P0..1] ⊻ [10P0..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z84,Netznutzungsabrechnung,X [3P0..1] ⊻ [4P0..1] ⊻ [6P0..1] ⊻ [10P0..1],
83,Verwendungszweck der Werte,SG30,CAV,7111,,Z85,Bilanzkreisabrechnung,X [5P1..1] ⊻ [6P1..1] ⊻ [7P1..1] ⊻ [8P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z85,Bilanzkreisabrechnung,X [5P1..1] ⊻ [6P1..1] ⊻ [7P1..1] ⊻ [8P1..1],
84,Verwendungszweck der Werte,SG30,CAV,7111,,Z86,Mehrmindermengenabrech nung,X [4P1..1] ⊻ [11P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,Z86,Mehrmindermengenabrech nung,X [4P1..1] ⊻ [11P1..1],
85,Verwendungszweck der Werte,SG30,CAV,7111,,ZE1,Es liegt kein Verwendungszweck vor,X [12P1..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,ZE1,Es liegt kein Verwendungszweck vor,X [12P1..1],
86,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,,,,,,Muss [112],"[112] Wenn in derselben SG29 LIN++Z27 (Erforderliches Messprodukt der Marktlokation), das PIA+5+9991000000078: Z11 (Wirkarbeit Lastgang 1/4 stündlich) vorhanden ist",,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,,,,,,Muss [112],"[112] Wenn in derselben SG29 LIN++Z27 (Erforderliches Messprodukt der Marktlokation), das PIA+5+9991000000078: Z11 (Wirkarbeit Lastgang 1/4 stündlich) vorhanden ist"
87,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,,00072,,,Muss,,,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,,00072,,,Muss,
88,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,7037,00072,ZA9,ÜNB,X,,,Messprodukt für Übertragungsnetzbetreiber relevant,SG30,CCI,7037,00072,ZA9,ÜNB,X,
89,Verwendungszweck der Werte,SG30,CAV,,00073,,,Muss,,,Verwendungszweck der Werte,SG30,CAV,,00073,,,Muss,
90,Verwendungszweck der Werte,SG30,CAV,7111,00073,Z85,Bilanzkreisabrechnung,X [1P0..1],,,Verwendungszweck der Werte,SG30,CAV,7111,00073,Z85,Bilanzkreisabrechnung,X [1P0..1],
91,Verwendungszweck der Werte,SG30,CAV,7111,,ZB5,Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen,X [1P0..1],,,Verwendungszweck der Werte,SG30,CAV,7111,,ZB5,Zur Ermittlung der Ausgeglichenheit von Bilanzkreisen,X [1P0..1],
92,Erforderliches Messprodukt der Tranche,SG29,,,,,,Muss [2001] ∧ [2002] ∧ [130] ∧ [94],"[94] Wenn in derselben Nachricht eine SG29 mit Z27 in LIN DE1229 nicht vorhanden
[130] Wenn in LOC+172 DE3225 (Meldepunkt) die ID einer Marktlokation angegeben ist
[2001] Die SG29 ist so oft zu wiederholen, wie ab dem DTM+203 (Ausführungsdatum) Tranchen zu der in der SG2 genannten Marktlokation vorhanden sind.
[2002] Ist mindestens zwei Mal anzugeben",,Erforderliches Messprodukt der Tranche,SG29,,,,,,Muss [2001] ∧ [2002] ∧ [130] ∧ [94],"[94] Wenn in derselben Nachricht eine SG29 mit Z27 in LIN DE1229 nicht vorhanden
[130] Wenn in LOC+172 DE3225 (Meldepunkt) die ID einer Marktlokation angegeben ist
[2001] Die SG29 ist so oft zu wiederholen, wie ab dem DTM+203 (Ausführungsdatum) Tranchen zu der in der SG2 genannten Marktlokation vorhanden sind.
[2002] Ist mindestens zwei Mal anzugeben"
93,Erforderliches Messprodukt der Tranche,SG29,LIN,,00074,,,Muss,,,Erforderliches Messprodukt der Tranche,SG29,LIN,,00074,,,Muss,
94,Erforderliches Messprodukt der Tranche,SG29,LIN,1082,00074,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend",,Erforderliches Messprodukt der Tranche,SG29,LIN,1082,00074,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
95,Erforderliches Messprodukt der Tranche,SG29,LIN,1229,00074,Tranche,,Z16,,,Erforderliches Messprodukt der Tranche,SG29,LIN,1229,00074,Tranche,,Z16,
96,Erforderliches Messprodukt der Tranche,SG29,PIA,,00075,,,Muss,,,Erforderliches Messprodukt der Tranche,SG29,PIA,,00075,,,Muss,
97,Erforderliches Messprodukt der Tranche,SG29,PIA,4347,00075,,,5,,,Erforderliches Messprodukt der Tranche,SG29,PIA,4347,00075,,,5,
